,win_percentage_5,win_percentage,avg_margin_5,avg_margin,home_or_away,spread,beat_spread,date,opp_win_percentage_5,opp_win_percentage,opp_avg_margin_5,opp_avg_margin
31,0.25,0.71875,-1.1655092592592595,13.09375,1,-13.5,0,2021-12-25 00:00:00,0.05555555555555555,0.46875,-0.9097222222222214,11.3125
32,0.3076923076923077,0.7272727272727273,-0.9426406926406923,12.878787878787879,0,-7.0,0,2021-12-27 00:00:00,0.13636363636363635,0.42424242424242425,1.2391774891774894,13.06060606060606
33,0.35714285714285715,0.7352941176470589,-0.6105476673427983,12.941176470588236,0,-8.0,1,2021-12-29 00:00:00,0.08695652173913043,0.38235294117647056,-0.3174442190669371,13.441176470588236
34,0.35714285714285715,0.7428571428571429,-0.519047619047619,12.914285714285715,1,-12.5,0,2021-12-31 00:00:00,0.05,0.45714285714285713,-0.5428571428571427,13.057142857142857
35,0.2857142857142857,0.7222222222222222,-0.637096774193548,12.75,1,-5.0,0,2022-01-01 00:00:00,0.36363636363636365,0.8,-0.704761904761904,12.82857142857143
36,0.2857142857142857,0.7297297297297297,-0.3910472972972965,12.702702702702704,0,-8.5,1,2022-01-03 00:00:00,0.07692307692307693,0.35135135135135137,-0.4535472972972965,12.702702702702704
0,0.0,0.0,7.0,7.0,1,-3.5,0,2021-10-19 00:00:00,1.0,1.0,7.0,7.0
1,0.0,0.0,8.5,8.5,1,1.0,0,2021-10-22 00:00:00,0.5,0.5,11.0,11.0
2,0.3333333333333333,0.3333333333333333,6.666666666666667,6.666666666666667,1,-5.0,0,2021-10-24 00:00:00,0.6666666666666666,0.6666666666666666,6.666666666666667,6.666666666666667
3,0.5,0.5,6.0,6.0,0,2.0,1,2021-10-26 00:00:00,0.25,0.25,11.5,11.5
4,0.4,0.4,6.4,6.4,0,-5.5,0,2021-10-27 00:00:00,0.2,0.2,16.4,16.4
