,win_percentage_5,win_percentage,avg_margin_5,avg_margin,home_or_away,spread,beat_spread,date,opp_win_percentage_5,opp_win_percentage,opp_avg_margin_5,opp_avg_margin
77,0.10714285714285714,0.6794871794871795,0.2483315770986998,12.974358974358974,1,-4.5,0,2021-06-06 00:00:00,0.1111111111111111,0.5897435897435898,-0.054443273621355814,11.794871794871796
78,0.10714285714285714,0.6835443037974683,0.12076633595621011,13.012658227848101,1,-6.5,1,2021-06-08 00:00:00,0.10810810810810811,0.5822784810126582,0.03729045501197348,11.848101265822784
79,0.10714285714285714,0.6875,-0.05666666666666664,13.05,0,-2.0,1,2021-06-11 00:00:00,0.08108108108108109,0.575,0.09999999999999964,11.9
80,0.10344827586206896,0.6790123456790124,-0.11354775828460006,12.925925925925926,0,-3.0,0,2021-06-14 00:00:00,0.08108108108108109,0.5802469135802469,-0.07829759584145535,11.790123456790123
81,0.06896551724137931,0.6707317073170732,-0.2860310421286041,12.804878048780488,1,-7.0,0,2021-06-16 00:00:00,0.08108108108108109,0.5853658536585366,-0.21317706683560367,11.682926829268293
82,0.1,0.6746987951807228,-0.2635156008649986,12.710843373493976,0,-3.0,1,2021-06-18 00:00:00,0.05405405405405406,0.5783132530120482,-0.19246215631757835,11.602409638554217
83,0.06666666666666667,0.6666666666666666,-0.369801084990959,12.642857142857142,1,-6.5,0,2021-06-20 00:00:00,0.07894736842105263,0.5833333333333334,-0.30048221820373655,11.547619047619047
0,0.0,0.0,20.0,20.0,1,2.0,0,2020-12-23 00:00:00,1.0,1.0,20.0,20.0
1,0.0,0.0,19.5,19.5,1,6.0,0,2020-12-26 00:00:00,1.0,1.0,16.5,16.5
2,0.0,0.0,13.333333333333334,13.333333333333334,1,3.5,1,2020-12-27 00:00:00,0.3333333333333333,0.3333333333333333,22.0,22.0
3,0.25,0.25,12.0,12.0,0,6.0,1,2020-12-29 00:00:00,0.0,0.0,7.75,7.75
4,0.4,0.4,10.2,10.2,0,7.5,1,2020-12-31 00:00:00,0.0,0.0,6.8,6.8
5,0.3333333333333333,0.3333333333333333,-6.5,13.5,0,14.5,0,2021-01-01 00:00:00,0.5,0.5,23.666666666666668,24.666666666666668
6,0.42857142857142855,0.42857142857142855,-6.5,13.0,1,4.0,1,2021-01-03 00:00:00,0.3333333333333333,0.3333333333333333,15.5,19.5
7,0.5,0.5,-1.583333333333334,11.75,0,9.5,1,2021-01-05 00:00:00,0.3333333333333333,0.42857142857142855,2.7142857142857135,13.714285714285714
8,0.375,0.4444444444444444,-1.1111111111111107,10.88888888888889,0,7.0,1,2021-01-06 00:00:00,0.3333333333333333,0.5,2.625,9.625
9,0.25,0.4,-0.1999999999999993,10.0,0,8.5,1,2021-01-08 00:00:00,0.5714285714285714,0.7,-5.500000000000002,12.1
10,0.2222222222222222,0.36363636363636365,-4.136363636363637,9.363636363636363,0,12.0,1,2021-01-10 00:00:00,0.42857142857142855,0.6363636363636364,-6.772727272727273,13.727272727272727
11,0.1111111111111111,0.3333333333333333,-4.25,8.75,0,-2.0,0,2021-01-15 00:00:00,0.3333333333333333,0.5,0.4404761904761916,12.583333333333334
