feature,mean_importance
Unnamed: 0,0.004043508572400101
opp_avg_margin,0.004864961670335455
opp_win_percentage,0.0052046487160960055
home_or_away,0.005492158103480404
opp_avg_margin_5,0.010053280566714017
avg_margin,0.010453704273492103
win_percentage,0.018141290333117444
avg_margin_5,0.022295627037416433
opp_win_percentage_5,0.06722451759343036
spread,0.07765504578324647
win_percentage_5,0.18117975463220554
